SourceRow;Filename;CastPredDash;Blok1Raw;Blok1Decoded;Prefix;WorkerID;Blok2Raw;Blok2Decoded;TailRaw;TailDecoded;TrailingChar;P01;P02;P03;P04;P05;P06;P07;P08;P09;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;T01;T02;T03;T04;T05;T06;T07;T08;T09;T10;T11;TailTrailingChar
2;000I0Q110H0H0H0H0I0H0I0Y1G1O1Z1F1G1F1G1H1F1G0--0I0Q111Y0I0H0I6522;000I0Q110H0H0H0H0I0H0I0Y1G1O1Z1F1G1F1G1H1F1G0;000I0Q110H0H0H0H0I0H0I;19D0000101;;19D0000101;0Y1G1O1Z1F1G1F1G1H1F1G;AS[fRSRSTRS;0I0Q111Y0I0H0I6522;19De101üi;0;00;0I;0Q;11;0H;0H;0H;0H;0I;0H;0I;0Y;1G;1O;1Z;1F;1G;1F;1G;1H;1F;1G;0I;0Q;11;1Y;0I;0H;0I;65;22;;;
3;000I110Q0H0H0H0H0I0H0I0Y1G1Z1O1F1G1F1G1H1F1G0--0I110Q1Y0I0H0I6522;000I110Q0H0H0H0H0I0H0I0Y1G1Z1O1F1G1F1G1H1F1G0;000I110Q0H0H0H0H0I0H0I;1D90000101;;1D90000101;0Y1G1Z1O1F1G1F1G1H1F1G;ASf[RSRSTRS;0I110Q1Y0I0H0I6522;1D9e101üi;0;00;0I;11;0Q;0H;0H;0H;0H;0I;0H;0I;0Y;1G;1Z;1O;1F;1G;1F;1G;1H;1F;1G;0I;11;0Q;1Y;0I;0H;0I;65;22;;;
4;000I130O0H0H0H0H0I0H0I0Y1G211M1F1G1F1G1H1F1G0--0I130O1Y0I0H0I6522;000I130O0H0H0H0H0I0H0I0Y1G211M1F1G1F1G1H1F1G0;000I130O0H0H0H0H0I0H0I;1F70000101;;1F70000101;0Y1G211M1F1G1F1G1H1F1G;AShYRSRSTRS;0I130O1Y0I0H0I6522;1F7e101üi;0;00;0I;13;0O;0H;0H;0H;0H;0I;0H;0I;0Y;1G;21;1M;1F;1G;1F;1G;1H;1F;1G;0I;13;0O;1Y;0I;0H;0I;65;22;;;
5;000I140N0H0H0H0H0I0H0I0Y1G221L1F1G1F1G1H1F1G0--0I140N1Y0I0H0I6522;000I140N0H0H0H0H0I0H0I0Y1G221L1F1G1F1G1H1F1G0;000I140N0H0H0H0H0I0H0I;1G60000101;;1G60000101;0Y1G221L1F1G1F1G1H1F1G;ASiXRSRSTRS;0I140N1Y0I0H0I6522;1G6e101üi;0;00;0I;14;0N;0H;0H;0H;0H;0I;0H;0I;0Y;1G;22;1L;1F;1G;1F;1G;1H;1F;1G;0I;14;0N;1Y;0I;0H;0I;65;22;;;
6;000J130N0H0H0H0H0I0H0I0Y1H211L1F1G1F1G1H1F1G0--0J130N1Y0I0H0I6522;000J130N0H0H0H0H0I0H0I0Y1H211L1F1G1F1G1H1F1G0;000J130N0H0H0H0H0I0H0I;2F60000101;;2F60000101;0Y1H211L1F1G1F1G1H1F1G;AThXRSRSTRS;0J130N1Y0I0H0I6522;2F6e101üi;0;00;0J;13;0N;0H;0H;0H;0H;0I;0H;0I;0Y;1H;21;1L;1F;1G;1F;1G;1H;1F;1G;0J;13;0N;1Y;0I;0H;0I;65;22;;;
7;000K170I0H0H0H0H0I0H0I0Y1I251G1F1G1F1G1H1F1G0--0K170I1Y0I0H0I6522;000K170I0H0H0H0H0I0H0I0Y1I251G1F1G1F1G1H1F1G0;000K170I0H0H0H0H0I0H0I;3J10000101;;3J10000101;0Y1I251G1F1G1F1G1H1F1G;AUlSRSRSTRS;0K170I1Y0I0H0I6522;3J1e101üi;0;00;0K;17;0I;0H;0H;0H;0H;0I;0H;0I;0Y;1I;25;1G;1F;1G;1F;1G;1H;1F;1G;0K;17;0I;1Y;0I;0H;0I;65;22;;;
8;000L110N0H0H0H0H0I0H0I0Y1J1Z1L1F1G1F1G1H1F1G0--0L110N1Y0I0H0I6522;000L110N0H0H0H0H0I0H0I0Y1J1Z1L1F1G1F1G1H1F1G0;000L110N0H0H0H0H0I0H0I;4D60000101;;4D60000101;0Y1J1Z1L1F1G1F1G1H1F1G;AVfXRSRSTRS;0L110N1Y0I0H0I6522;4D6e101üi;0;00;0L;11;0N;0H;0H;0H;0H;0I;0H;0I;0Y;1J;1Z;1L;1F;1G;1F;1G;1H;1F;1G;0L;11;0N;1Y;0I;0H;0I;65;22;;;
9;000M1F1F1C170H0H0I0H0I0Y1K2D2E2A251F1G1H1F1G0--0M1F1F1C170C0I0H0I630E0;000M1F1F1C170H0H0I0H0I0Y1K2D2E2A251F1G1H1F1G0;000M1F1F1C170H0H0I0H0I;5RROJ00101;;5RROJ00101;0Y1K2D2E2A251F1G1H1F1G;AWtuqlRSTRS;0M1F1F1C170C0I0H0I630E0;5RROJ+101ú-;0;00;0M;1F;1F;1C;17;0H;0H;0I;0H;0I;0Y;1K;2D;2E;2A;25;1F;1G;1H;1F;1G;0M;1F;1F;1C;17;0C;0I;0H;0I;63;0E;0
10;00130P0H0H0H0H0H0I0H0I0Y211N1F1G1F1G1F1G1F1G0--130P0L0I0H0I660Q0;00130P0H0H0H0H0H0I0H0I0Y211N1F1G1F1G1F1G1F1G0;00130P0H0H0H0H0H0I0H0I;F800000101;;F800000101;0Y211N1F1G1F1G1F1G1F1G;AhZRSRSRSRS;130P0L0I0H0I660Q0;F84101ý9;0;00;13;0P;0H;0H;0H;0H;0H;0I;0H;0I;0Y;21;1N;1F;1G;1F;1G;1F;1G;1F;1G;13;0P;0L;0I;0H;0I;66;0Q;;;;0
11;00140O0H0H0H0H0H0I0H0I0Y221M1F1G1F1G1F1G1F1G0--140O0L0I0H0I660Q0;00140O0H0H0H0H0H0I0H0I0Y221M1F1G1F1G1F1G1F1G0;00140O0H0H0H0H0H0I0H0I;G700000101;;G700000101;0Y221M1F1G1F1G1F1G1F1G;AiYRSRSRSRS;140O0L0I0H0I660Q0;G74101ý9;0;00;14;0O;0H;0H;0H;0H;0H;0I;0H;0I;0Y;22;1M;1F;1G;1F;1G;1F;1G;1F;1G;14;0O;0L;0I;0H;0I;66;0Q;;;;0
