SourceRow;Filename;WorkerID;Prefix_ASC;TailRaw;TailLen;PairCount;TrailingChar;FirstZeroPos;SignificantLen;W01;W02;W03;W04;W05;W06;W07;W08;W09;W10;W01_ASC;W02_ASC;W03_ASC;W04_ASC;W05_ASC;W06_ASC;W07_ASC;W08_ASC;W09_ASC;W10_ASC;W01_B36;W02_B36;W03_B36;W04_B36;W05_B36;W06_B36;W07_B36;W08_B36;W09_B36;W10_B36;T01_RAW;T02_RAW;T03_RAW;T04_RAW;T05_RAW;T06_RAW;T07_RAW;T08_RAW;T09_RAW;T10_RAW;T11_RAW;T01_NUM;T02_NUM;T03_NUM;T04_NUM;T05_NUM;T06_NUM;T07_NUM;T08_NUM;T09_NUM;T10_NUM;T11_NUM;T01_PLUS31;T02_PLUS31;T03_PLUS31;T04_PLUS31;T05_PLUS31;T06_PLUS31;T07_PLUS31;T08_PLUS31;T09_PLUS31;T10_PLUS31;T11_PLUS31;T01_MATCH_W;T02_MATCH_W;T03_MATCH_W;T04_MATCH_W;T05_MATCH_W;T06_MATCH_W;T07_MATCH_W;T08_MATCH_W;T09_MATCH_W;T10_MATCH_W;T11_MATCH_W;;;SOUHRN;
2;000I0Q110H0H0H0H0I0H0I0Y1G1O1Z1F1G1F1G1H1F1G0--0I0Q111Y0I0H0I6522;19D0000101;31;0I0Q111Y0I0H0I6522;18;9;;4;3;1;9;D;0;0;0;0;1;0;1;49;57;68;48;48;48;48;49;48;49;18;26;37;17;17;17;17;18;17;18;0I;0Q;11;1Y;0I;0H;0I;65;22;;;18;26;37;70;18;17;18;221;74;;;49;57;68;101;49;48;49;252;105;;;W01,W08,W10;W02;W03;;W01,W08,W10;W04,W05,W06,W07,W09;W01,W08,W10;;;;;;;WorkerID;575
3;000I110Q0H0H0H0H0I0H0I0Y1G1Z1O1F1G1F1G1H1F1G0--0I110Q1Y0I0H0I6522;1D90000101;31;0I110Q1Y0I0H0I6522;18;9;;4;3;1;D;9;0;0;0;0;1;0;1;49;68;57;48;48;48;48;49;48;49;18;37;26;17;17;17;17;18;17;18;0I;11;0Q;1Y;0I;0H;0I;65;22;;;18;37;26;70;18;17;18;221;74;;;49;68;57;101;49;48;49;252;105;;;W01,W08,W10;W02;W03;;W01,W08,W10;W04,W05,W06,W07,W09;W01,W08,W10;;;;;;;;
4;000I130O0H0H0H0H0I0H0I0Y1G211M1F1G1F1G1H1F1G0--0I130O1Y0I0H0I6522;1F70000101;31;0I130O1Y0I0H0I6522;18;9;;4;3;1;F;7;0;0;0;0;1;0;1;49;70;55;48;48;48;48;49;48;49;18;39;24;17;17;17;17;18;17;18;0I;13;0O;1Y;0I;0H;0I;65;22;;;18;39;24;70;18;17;18;221;74;;;49;70;55;101;49;48;49;252;105;;;W01,W08,W10;W02;W03;;W01,W08,W10;W04,W05,W06,W07,W09;W01,W08,W10;;;;;;;TailLen;Count
5;000I140N0H0H0H0H0I0H0I0Y1G221L1F1G1F1G1H1F1G0--0I140N1Y0I0H0I6522;1G60000101;31;0I140N1Y0I0H0I6522;18;9;;4;3;1;G;6;0;0;0;0;1;0;1;49;71;54;48;48;48;48;49;48;49;18;40;23;17;17;17;17;18;17;18;0I;14;0N;1Y;0I;0H;0I;65;22;;;18;40;23;70;18;17;18;221;74;;;49;71;54;101;49;48;49;252;105;;;W01,W08,W10;W02;W03;;W01,W08,W10;W04,W05,W06,W07,W09;W01,W08,W10;;;;;;;18;260
6;000J130N0H0H0H0H0I0H0I0Y1H211L1F1G1F1G1H1F1G0--0J130N1Y0I0H0I6522;2F60000101;31;0J130N1Y0I0H0I6522;18;9;;4;3;2;F;6;0;0;0;0;1;0;1;50;70;54;48;48;48;48;49;48;49;19;39;23;17;17;17;17;18;17;18;0J;13;0N;1Y;0I;0H;0I;65;22;;;19;39;23;70;18;17;18;221;74;;;50;70;54;101;49;48;49;252;105;;;W01;W02;W03;;W08,W10;W04,W05,W06,W07,W09;W08,W10;;;;;;;23;234
7;000K170I0H0H0H0H0I0H0I0Y1I251G1F1G1F1G1H1F1G0--0K170I1Y0I0H0I6522;3J10000101;31;0K170I1Y0I0H0I6522;18;9;;4;3;3;J;1;0;0;0;0;1;0;1;51;74;49;48;48;48;48;49;48;49;20;43;18;17;17;17;17;18;17;18;0K;17;0I;1Y;0I;0H;0I;65;22;;;20;43;18;70;18;17;18;221;74;;;51;74;49;101;49;48;49;252;105;;;W01;W02;W03,W08,W10;;W03,W08,W10;W04,W05,W06,W07,W09;W03,W08,W10;;;;;;;17;80
8;000L110N0H0H0H0H0I0H0I0Y1J1Z1L1F1G1F1G1H1F1G0--0L110N1Y0I0H0I6522;4D60000101;31;0L110N1Y0I0H0I6522;18;9;;4;3;4;D;6;0;0;0;0;1;0;1;52;68;54;48;48;48;48;49;48;49;21;37;23;17;17;17;17;18;17;18;0L;11;0N;1Y;0I;0H;0I;65;22;;;21;37;23;70;18;17;18;221;74;;;52;68;54;101;49;48;49;252;105;;;W01;W02;W03;;W08,W10;W04,W05,W06,W07,W09;W08,W10;;;;;;;15;1
9;000M1F1F1C170H0H0I0H0I0Y1K2D2E2A251F1G1H1F1G0--0M1F1F1C170C0I0H0I630E0;5RROJ00101;31;0M1F1F1C170C0I0H0I630E0;23;11;0;6;5;5;R;R;O;J;0;0;1;0;1;53;82;82;79;74;48;48;49;48;49;22;51;51;48;43;17;17;18;17;18;0M;1F;1F;1C;17;0C;0I;0H;0I;63;0E;22;51;51;48;43;12;18;17;18;219;14;53;82;82;79;74;43;49;48;49;250;45;W01;W02,W03;W02,W03;W04;W05;;W08,W10;W06,W07,W09;W08,W10;;;;;;
10;00130P0H0H0H0H0H0I0H0I0Y211N1F1G1F1G1F1G1F1G0--130P0L0I0H0I660Q0;F800000101;31;130P0L0I0H0I660Q0;17;8;0;3;2;F;8;0;0;0;0;0;1;0;1;70;56;48;48;48;48;48;49;48;49;39;25;17;17;17;17;17;18;17;18;13;0P;0L;0I;0H;0I;66;0Q;;;;39;25;21;18;17;18;222;26;;;;70;56;52;49;48;49;253;57;;;;W01;W02;;W08,W10;W03,W04,W05,W06,W07,W09;W08,W10;;;;;;;;;
11;00140O0H0H0H0H0H0I0H0I0Y221M1F1G1F1G1F1G1F1G0--140O0L0I0H0I660Q0;G700000101;31;140O0L0I0H0I660Q0;17;8;0;3;2;G;7;0;0;0;0;0;1;0;1;71;55;48;48;48;48;48;49;48;49;40;24;17;17;17;17;17;18;17;18;14;0O;0L;0I;0H;0I;66;0Q;;;;40;24;21;18;17;18;222;26;;;;71;55;52;49;48;49;253;57;;;;W01;W02;;W08,W10;W03,W04,W05,W06,W07,W09;W08,W10;;;;;;;;;
