SourceRow;WorkerID;Prefix;Prefix_ASCII;Blok2Raw;Blok2Decoded;TailRaw;TailDecoded;TailLen;W01;W02;W03;W04;W05;W06;W07;W08;W09;W10;W01_B36;W02_B36;W03_B36;W04_B36;W05_B36;W06_B36;W07_B36;W08_B36;W09_B36;W10_B36;W01_ASC;W02_ASC;W03_ASC;W04_ASC;W05_ASC;W06_ASC;W07_ASC;W08_ASC;W09_ASC;W10_ASC;P01;P02;P03;P04;P05;P06;P07;P08;P09;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P01_B36;P02_B36;P03_B36;P04_B36;P05_B36;P06_B36;P07_B36;P08_B36;P09_B36;P10_B36;P11_B36;P12_B36;P13_B36;P14_B36;P15_B36;P16_B36;P17_B36;P18_B36;P19_B36;P20_B36;P21_B36;P22_B36;P01_DEC;P02_DEC;P03_DEC;P04_DEC;P05_DEC;P06_DEC;P07_DEC;P08_DEC;P09_DEC;P10_DEC;P11_DEC;P12_DEC;P13_DEC;P14_DEC;P15_DEC;P16_DEC;P17_DEC;P18_DEC;P19_DEC;P20_DEC;P21_DEC;P22_DEC;T01;T02;T03;T04;T05;T06;T07;T08;T09;T10;T11;T01_B36;T02_B36;T03_B36;T04_B36;T05_B36;T06_B36;T07_B36;T08_B36;T09_B36;T10_B36;T11_B36;T01_DEC;T02_DEC;T03_DEC;T04_DEC;T05_DEC;T06_DEC;T07_DEC;T08_DEC;T09_DEC;T10_DEC;T11_DEC;BeforeDashTrailingChar;TailTrailingChar
2;19D0000101;;31;0Y1G1O1Z1F1G1F1G1H1F1G;AS[fRSRSTRS;0I0Q111Y0I0H0I6522;19De101üi;18;1;9;D;0;0;0;0;1;0;1;1;9;13;0;0;0;0;1;0;1;49;57;68;48;48;48;48;49;48;49;00;0I;0Q;11;0H;0H;0H;0H;0I;0H;0I;0Y;1G;1O;1Z;1F;1G;1F;1G;1H;1F;1G;0;18;26;37;17;17;17;17;18;17;18;34;52;60;71;51;52;51;52;53;51;52;31;49;57;68;48;48;48;48;49;48;49;65;83;91;102;82;83;82;83;84;82;83;0I;0Q;11;1Y;0I;0H;0I;65;22;;;18;26;37;70;18;17;18;221;74;;;49;57;68;101;49;48;49;252;105;;;0;
3;1D90000101;;31;0Y1G1Z1O1F1G1F1G1H1F1G;ASf[RSRSTRS;0I110Q1Y0I0H0I6522;1D9e101üi;18;1;D;9;0;0;0;0;1;0;1;1;13;9;0;0;0;0;1;0;1;49;68;57;48;48;48;48;49;48;49;00;0I;11;0Q;0H;0H;0H;0H;0I;0H;0I;0Y;1G;1Z;1O;1F;1G;1F;1G;1H;1F;1G;0;18;37;26;17;17;17;17;18;17;18;34;52;71;60;51;52;51;52;53;51;52;31;49;68;57;48;48;48;48;49;48;49;65;83;102;91;82;83;82;83;84;82;83;0I;11;0Q;1Y;0I;0H;0I;65;22;;;18;37;26;70;18;17;18;221;74;;;49;68;57;101;49;48;49;252;105;;;0;
4;1F70000101;;31;0Y1G211M1F1G1F1G1H1F1G;AShYRSRSTRS;0I130O1Y0I0H0I6522;1F7e101üi;18;1;F;7;0;0;0;0;1;0;1;1;15;7;0;0;0;0;1;0;1;49;70;55;48;48;48;48;49;48;49;00;0I;13;0O;0H;0H;0H;0H;0I;0H;0I;0Y;1G;21;1M;1F;1G;1F;1G;1H;1F;1G;0;18;39;24;17;17;17;17;18;17;18;34;52;73;58;51;52;51;52;53;51;52;31;49;70;55;48;48;48;48;49;48;49;65;83;104;89;82;83;82;83;84;82;83;0I;13;0O;1Y;0I;0H;0I;65;22;;;18;39;24;70;18;17;18;221;74;;;49;70;55;101;49;48;49;252;105;;;0;
5;1G60000101;;31;0Y1G221L1F1G1F1G1H1F1G;ASiXRSRSTRS;0I140N1Y0I0H0I6522;1G6e101üi;18;1;G;6;0;0;0;0;1;0;1;1;16;6;0;0;0;0;1;0;1;49;71;54;48;48;48;48;49;48;49;00;0I;14;0N;0H;0H;0H;0H;0I;0H;0I;0Y;1G;22;1L;1F;1G;1F;1G;1H;1F;1G;0;18;40;23;17;17;17;17;18;17;18;34;52;74;57;51;52;51;52;53;51;52;31;49;71;54;48;48;48;48;49;48;49;65;83;105;88;82;83;82;83;84;82;83;0I;14;0N;1Y;0I;0H;0I;65;22;;;18;40;23;70;18;17;18;221;74;;;49;71;54;101;49;48;49;252;105;;;0;
6;2F60000101;;31;0Y1H211L1F1G1F1G1H1F1G;AThXRSRSTRS;0J130N1Y0I0H0I6522;2F6e101üi;18;2;F;6;0;0;0;0;1;0;1;2;15;6;0;0;0;0;1;0;1;50;70;54;48;48;48;48;49;48;49;00;0J;13;0N;0H;0H;0H;0H;0I;0H;0I;0Y;1H;21;1L;1F;1G;1F;1G;1H;1F;1G;0;19;39;23;17;17;17;17;18;17;18;34;53;73;57;51;52;51;52;53;51;52;31;50;70;54;48;48;48;48;49;48;49;65;84;104;88;82;83;82;83;84;82;83;0J;13;0N;1Y;0I;0H;0I;65;22;;;19;39;23;70;18;17;18;221;74;;;50;70;54;101;49;48;49;252;105;;;0;
7;3J10000101;;31;0Y1I251G1F1G1F1G1H1F1G;AUlSRSRSTRS;0K170I1Y0I0H0I6522;3J1e101üi;18;3;J;1;0;0;0;0;1;0;1;3;19;1;0;0;0;0;1;0;1;51;74;49;48;48;48;48;49;48;49;00;0K;17;0I;0H;0H;0H;0H;0I;0H;0I;0Y;1I;25;1G;1F;1G;1F;1G;1H;1F;1G;0;20;43;18;17;17;17;17;18;17;18;34;54;77;52;51;52;51;52;53;51;52;31;51;74;49;48;48;48;48;49;48;49;65;85;108;83;82;83;82;83;84;82;83;0K;17;0I;1Y;0I;0H;0I;65;22;;;20;43;18;70;18;17;18;221;74;;;51;74;49;101;49;48;49;252;105;;;0;
8;4D60000101;;31;0Y1J1Z1L1F1G1F1G1H1F1G;AVfXRSRSTRS;0L110N1Y0I0H0I6522;4D6e101üi;18;4;D;6;0;0;0;0;1;0;1;4;13;6;0;0;0;0;1;0;1;52;68;54;48;48;48;48;49;48;49;00;0L;11;0N;0H;0H;0H;0H;0I;0H;0I;0Y;1J;1Z;1L;1F;1G;1F;1G;1H;1F;1G;0;21;37;23;17;17;17;17;18;17;18;34;55;71;57;51;52;51;52;53;51;52;31;52;68;54;48;48;48;48;49;48;49;65;86;102;88;82;83;82;83;84;82;83;0L;11;0N;1Y;0I;0H;0I;65;22;;;21;37;23;70;18;17;18;221;74;;;52;68;54;101;49;48;49;252;105;;;0;
9;5RROJ00101;;31;0Y1K2D2E2A251F1G1H1F1G;AWtuqlRSTRS;0M1F1F1C170C0I0H0I630E0;5RROJ+101ú-;23;5;R;R;O;J;0;0;1;0;1;5;27;27;24;19;0;0;1;0;1;53;82;82;79;74;48;48;49;48;49;00;0M;1F;1F;1C;17;0H;0H;0I;0H;0I;0Y;1K;2D;2E;2A;25;1F;1G;1H;1F;1G;0;22;51;51;48;43;17;17;18;17;18;34;56;85;86;82;77;51;52;53;51;52;31;53;82;82;79;74;48;48;49;48;49;65;87;116;117;113;108;82;83;84;82;83;0M;1F;1F;1C;17;0C;0I;0H;0I;63;0E;22;51;51;48;43;12;18;17;18;219;14;53;82;82;79;74;43;49;48;49;250;45;0;0
10;F800000101;;31;0Y211N1F1G1F1G1F1G1F1G;AhZRSRSRSRS;130P0L0I0H0I660Q0;F84101ý9;17;F;8;0;0;0;0;0;1;0;1;15;8;0;0;0;0;0;1;0;1;70;56;48;48;48;48;48;49;48;49;00;13;0P;0H;0H;0H;0H;0H;0I;0H;0I;0Y;21;1N;1F;1G;1F;1G;1F;1G;1F;1G;0;39;25;17;17;17;17;17;18;17;18;34;73;59;51;52;51;52;51;52;51;52;31;70;56;48;48;48;48;48;49;48;49;65;104;90;82;83;82;83;82;83;82;83;13;0P;0L;0I;0H;0I;66;0Q;;;;39;25;21;18;17;18;222;26;;;;70;56;52;49;48;49;253;57;;;;0;0
11;G700000101;;31;0Y221M1F1G1F1G1F1G1F1G;AiYRSRSRSRS;140O0L0I0H0I660Q0;G74101ý9;17;G;7;0;0;0;0;0;1;0;1;16;7;0;0;0;0;0;1;0;1;71;55;48;48;48;48;48;49;48;49;00;14;0O;0H;0H;0H;0H;0H;0I;0H;0I;0Y;22;1M;1F;1G;1F;1G;1F;1G;1F;1G;0;40;24;17;17;17;17;17;18;17;18;34;74;58;51;52;51;52;51;52;51;52;31;71;55;48;48;48;48;48;49;48;49;65;105;89;82;83;82;83;82;83;82;83;14;0O;0L;0I;0H;0I;66;0Q;;;;40;24;21;18;17;18;222;26;;;;71;55;52;49;48;49;253;57;;;;0;0
