SourceRow;WorkerID;Prefix_ASC;W01;W02;W03;W04;W05;W06;W07;W08;W09;W10;W01_B36;W02_B36;W03_B36;W04_B36;W05_B36;W06_B36;W07_B36;W08_B36;W09_B36;W10_B36;W01_ASC;W02_ASC;W03_ASC;W04_ASC;W05_ASC;W06_ASC;W07_ASC;W08_ASC;W09_ASC;W10_ASC;A01;A02;A03;A04;A05;A06;A07;A08;A09;A10;A11;A01_B36;A02_B36;A03_B36;A04_B36;A05_B36;A06_B36;A07_B36;A08_B36;A09_B36;A10_B36;A11_B36;C01;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C01_B36;C02_B36;C03_B36;C04_B36;C05_B36;C06_B36;C07_B36;C08_B36;C09_B36;C10_B36;C11_B36;D01;D02;D03;D04;D05;D06;D07;D08;D09;D10;D11;K01_ASC;K02_ASC;K03_ASC;K04_ASC;K05_ASC;K06_ASC;K07_ASC;K08_ASC;K09_ASC;K10_ASC;K11_ASC;PREV01_ASC;PREV02_ASC;PREV03_ASC;PREV04_ASC;PREV05_ASC;PREV06_ASC;PREV07_ASC;PREV08_ASC;PREV09_ASC;PREV10_ASC;PREV11_ASC;CUM01;CUM02;CUM03;CUM04;CUM05;CUM06;CUM07;CUM08;CUM09;CUM10;CUM11
2;19D0000101;31;1;9;D;0;0;0;0;1;0;1;1;9;13;0;0;0;0;1;0;1;49;57;68;48;48;48;48;49;48;49;0Y;1G;1O;1Z;1F;1G;1F;1G;1H;1F;1G;34;52;60;71;51;52;51;52;53;51;52;0Y;1G;1O;1Z;1F;1F;1F;1F;1G;1F;1G;34;52;60;71;51;51;51;51;52;51;52;0;0;0;0;0;1;0;1;1;0;0;31;49;57;68;48;48;48;48;49;48;49;;31;49;57;68;48;48;48;48;49;48;31;80;137;205;253;301;349;397;446;494;543
3;1D90000101;31;1;D;9;0;0;0;0;1;0;1;1;13;9;0;0;0;0;1;0;1;49;68;57;48;48;48;48;49;48;49;0Y;1G;1Z;1O;1F;1G;1F;1G;1H;1F;1G;34;52;71;60;51;52;51;52;53;51;52;0Y;1G;1Z;1O;1F;1F;1F;1F;1G;1F;1G;34;52;71;60;51;51;51;51;52;51;52;0;0;0;0;0;1;0;1;1;0;0;31;49;68;57;48;48;48;48;49;48;49;;31;49;68;57;48;48;48;48;49;48;31;80;148;205;253;301;349;397;446;494;543
4;1F70000101;31;1;F;7;0;0;0;0;1;0;1;1;15;7;0;0;0;0;1;0;1;49;70;55;48;48;48;48;49;48;49;0Y;1G;21;1M;1F;1G;1F;1G;1H;1F;1G;34;52;73;58;51;52;51;52;53;51;52;0Y;1G;21;1M;1F;1F;1F;1F;1G;1F;1G;34;52;73;58;51;51;51;51;52;51;52;0;0;0;0;0;1;0;1;1;0;0;31;49;70;55;48;48;48;48;49;48;49;;31;49;70;55;48;48;48;48;49;48;31;80;150;205;253;301;349;397;446;494;543
5;1G60000101;31;1;G;6;0;0;0;0;1;0;1;1;16;6;0;0;0;0;1;0;1;49;71;54;48;48;48;48;49;48;49;0Y;1G;22;1L;1F;1G;1F;1G;1H;1F;1G;34;52;74;57;51;52;51;52;53;51;52;0Y;1G;22;1L;1F;1F;1F;1F;1G;1F;1G;34;52;74;57;51;51;51;51;52;51;52;0;0;0;0;0;1;0;1;1;0;0;31;49;71;54;48;48;48;48;49;48;49;;31;49;71;54;48;48;48;48;49;48;31;80;151;205;253;301;349;397;446;494;543
6;2F60000101;31;2;F;6;0;0;0;0;1;0;1;2;15;6;0;0;0;0;1;0;1;50;70;54;48;48;48;48;49;48;49;0Y;1H;21;1L;1F;1G;1F;1G;1H;1F;1G;34;53;73;57;51;52;51;52;53;51;52;0Y;1H;21;1L;1F;1F;1F;1F;1G;1F;1G;34;53;73;57;51;51;51;51;52;51;52;0;0;0;0;0;1;0;1;1;0;0;31;50;70;54;48;48;48;48;49;48;49;;31;50;70;54;48;48;48;48;49;48;31;81;151;205;253;301;349;397;446;494;543
7;3J10000101;31;3;J;1;0;0;0;0;1;0;1;3;19;1;0;0;0;0;1;0;1;51;74;49;48;48;48;48;49;48;49;0Y;1I;25;1G;1F;1G;1F;1G;1H;1F;1G;34;54;77;52;51;52;51;52;53;51;52;0Y;1I;25;1G;1F;1F;1F;1F;1G;1F;1G;34;54;77;52;51;51;51;51;52;51;52;0;0;0;0;0;1;0;1;1;0;0;31;51;74;49;48;48;48;48;49;48;49;;31;51;74;49;48;48;48;48;49;48;31;82;156;205;253;301;349;397;446;494;543
8;4D60000101;31;4;D;6;0;0;0;0;1;0;1;4;13;6;0;0;0;0;1;0;1;52;68;54;48;48;48;48;49;48;49;0Y;1J;1Z;1L;1F;1G;1F;1G;1H;1F;1G;34;55;71;57;51;52;51;52;53;51;52;0Y;1J;1Z;1L;1F;1F;1F;1F;1G;1F;1G;34;55;71;57;51;51;51;51;52;51;52;0;0;0;0;0;1;0;1;1;0;0;31;52;68;54;48;48;48;48;49;48;49;;31;52;68;54;48;48;48;48;49;48;31;83;151;205;253;301;349;397;446;494;543
9;5RROJ00101;31;5;R;R;O;J;0;0;1;0;1;5;27;27;24;19;0;0;1;0;1;53;82;82;79;74;48;48;49;48;49;0Y;1K;2D;2E;2A;25;1F;1G;1H;1F;1G;34;56;85;86;82;77;51;52;53;51;52;0Y;1K;2D;2D;2A;25;1F;1F;1G;1F;1G;34;56;85;85;82;77;51;51;52;51;52;0;0;0;1;0;0;0;1;1;0;0;31;53;82;82;79;74;48;48;49;48;49;;31;53;82;82;79;74;48;48;49;48;31;84;166;248;327;401;449;497;546;594;643
10;F800000101;31;F;8;0;0;0;0;0;1;0;1;15;8;0;0;0;0;0;1;0;1;70;56;48;48;48;48;48;49;48;49;0Y;21;1N;1F;1G;1F;1G;1F;1G;1F;1G;34;73;59;51;52;51;52;51;52;51;52;0Y;21;1N;1F;1F;1F;1F;1F;1G;1F;1G;34;73;59;51;51;51;51;51;52;51;52;0;0;0;0;1;0;1;0;0;0;0;31;70;56;48;48;48;48;48;49;48;49;;31;70;56;48;48;48;48;48;49;48;31;101;157;205;253;301;349;397;446;494;543
11;G700000101;31;G;7;0;0;0;0;0;1;0;1;16;7;0;0;0;0;0;1;0;1;71;55;48;48;48;48;48;49;48;49;0Y;22;1M;1F;1G;1F;1G;1F;1G;1F;1G;34;74;58;51;52;51;52;51;52;51;52;0Y;22;1M;1F;1F;1F;1F;1F;1G;1F;1G;34;74;58;51;51;51;51;51;52;51;52;0;0;0;0;1;0;1;0;0;0;0;31;71;55;48;48;48;48;48;49;48;49;;31;71;55;48;48;48;48;48;49;48;31;102;157;205;253;301;349;397;446;494;543
