SourceRow;WorkerID;PrefixActual_ASC;PrefixCalc_ASC;PrefixActual_RAW;PrefixCalc_RAW;Prefix_OK;Block1Actual;Block1Calc;Block1_OK;Block1_FirstDiff;Block2Actual;Block2Calc;Block2_OK;Block2_FirstDiff;ALL_OK;Status
2;19D0000101;31;31;00;00;PRAVDA;000I0Q110H0H0H0H0I0H0I;000I0Q110H0H0H0H0I0H0I;PRAVDA;;0Y1G1O1Z1F1G1F1G1H1F1G;0Y1G1O1Z1F1F1F1F1G1F1G;NEPRAVDA;P17;NEPRAVDA;BLOCK2
3;1D90000101;31;31;00;00;PRAVDA;000I110Q0H0H0H0H0I0H0I;000I110Q0H0H0H0H0I0H0I;PRAVDA;;0Y1G1Z1O1F1G1F1G1H1F1G;0Y1G1Z1O1F1F1F1F1G1F1G;NEPRAVDA;P17;NEPRAVDA;BLOCK2
4;1F70000101;31;31;00;00;PRAVDA;000I130O0H0H0H0H0I0H0I;000I130O0H0H0H0H0I0H0I;PRAVDA;;0Y1G211M1F1G1F1G1H1F1G;0Y1G211M1F1F1F1F1G1F1G;NEPRAVDA;P17;NEPRAVDA;BLOCK2
5;1G60000101;31;31;00;00;PRAVDA;000I140N0H0H0H0H0I0H0I;000I140N0H0H0H0H0I0H0I;PRAVDA;;0Y1G221L1F1G1F1G1H1F1G;0Y1G221L1F1F1F1F1G1F1G;NEPRAVDA;P17;NEPRAVDA;BLOCK2
6;2F60000101;31;31;00;00;PRAVDA;000J130N0H0H0H0H0I0H0I;000J130N0H0H0H0H0I0H0I;PRAVDA;;0Y1H211L1F1G1F1G1H1F1G;0Y1H211L1F1F1F1F1G1F1G;NEPRAVDA;P17;NEPRAVDA;BLOCK2
7;3J10000101;31;31;00;00;PRAVDA;000K170I0H0H0H0H0I0H0I;000K170I0H0H0H0H0I0H0I;PRAVDA;;0Y1I251G1F1G1F1G1H1F1G;0Y1I251G1F1F1F1F1G1F1G;NEPRAVDA;P17;NEPRAVDA;BLOCK2
8;4D60000101;31;31;00;00;PRAVDA;000L110N0H0H0H0H0I0H0I;000L110N0H0H0H0H0I0H0I;PRAVDA;;0Y1J1Z1L1F1G1F1G1H1F1G;0Y1J1Z1L1F1F1F1F1G1F1G;NEPRAVDA;P17;NEPRAVDA;BLOCK2
9;5RROJ00101;31;31;00;00;PRAVDA;000M1F1F1C170H0H0I0H0I;000M1F1F1C170H0H0I0H0I;PRAVDA;;0Y1K2D2E2A251F1G1H1F1G;0Y1K2D2D2A251F1F1G1F1G;NEPRAVDA;P15;NEPRAVDA;BLOCK2
10;F800000101;31;31;00;00;PRAVDA;00130P0H0H0H0H0H0I0H0I;00130P0H0H0H0H0H0I0H0I;PRAVDA;;0Y211N1F1G1F1G1F1G1F1G;0Y211N1F1F1F1F1F1G1F1G;NEPRAVDA;P16;NEPRAVDA;BLOCK2
11;G700000101;31;31;00;00;PRAVDA;00140O0H0H0H0H0H0I0H0I;00140O0H0H0H0H0H0I0H0I;PRAVDA;;0Y221M1F1G1F1G1F1G1F1G;0Y221M1F1F1F1F1F1G1F1G;NEPRAVDA;P16;NEPRAVDA;BLOCK2
12;M100000101;31;31;00;00;PRAVDA;001A0I0H0H0H0H0H0I0H0I;001A0I0H0H0H0H0H0I0H0I;PRAVDA;;0Y281G1F1G1F1G1F1G1F1G;0Y281G1F1F1F1F1F1G1F1G;NEPRAVDA;P16;NEPRAVDA;BLOCK2
13;VJ5SJ00101;31;31;00;00;PRAVDA;001J170M1G170H0H0I0H0I;001J170M1G170H0H0I0H0I;PRAVDA;;0Y2H251K2E251F1G1H1F1G;0Y2H251K2E251F1F1G1F1G;NEPRAVDA;P19;NEPRAVDA;BLOCK2
14;1E90000101;32;32;01;01;PRAVDA;010I120Q0H0H0H0H0I0H0I;010I120Q0H0H0H0H0I0H0I;PRAVDA;;101H211P1G1H1G1H1I1G1H;101H211P1G1G1G1G1H1G1H;NEPRAVDA;P17;NEPRAVDA;BLOCK2
15;1L20000101;32;32;01;01;PRAVDA;010I190J0H0H0H0H0I0H0I;010I190J0H0H0H0H0I0H0I;PRAVDA;;101H281I1G1H1G1H1I1G1H;101H281I1G1G1G1G1H1G1H;NEPRAVDA;P17;NEPRAVDA;BLOCK2
16;2H50000101;32;32;01;01;PRAVDA;010J150M0H0H0H0H0I0H0I;010J150M0H0H0H0H0I0H0I;PRAVDA;;101I241L1G1H1G1H1I1G1H;101I241L1G1G1G1G1H1G1H;NEPRAVDA;P17;NEPRAVDA;BLOCK2
17;38D0000101;32;32;01;01;PRAVDA;010K0P110H0H0H0H0I0H0I;010K0P110H0H0H0H0I0H0I;PRAVDA;;101J1O201G1H1G1H1I1G1H;101J1O201G1G1G1G1H1G1H;NEPRAVDA;P17;NEPRAVDA;BLOCK2
18;3F60000101;32;32;01;01;PRAVDA;010K130N0H0H0H0H0I0H0I;010K130N0H0H0H0H0I0H0I;PRAVDA;;101J221M1G1H1G1H1I1G1H;101J221M1G1G1G1G1H1G1H;NEPRAVDA;P17;NEPRAVDA;BLOCK2
19;4J10000101;32;32;01;01;PRAVDA;010L170I0H0H0H0H0I0H0I;010L170I0H0H0H0H0I0H0I;PRAVDA;;101K261H1G1H1G1H1I1G1H;101K261H1G1G1G1G1H1G1H;NEPRAVDA;P17;NEPRAVDA;BLOCK2
20;FBPQJ00101;32;32;01;01;PRAVDA;01130Z1D1E170H0H0I0H0I;01130Z1D1E170H0H0I0H0I;PRAVDA;;10221Y2C2D261G1H1I1G1H;10221Y2C2D261G1G1H1G1H;NEPRAVDA;P19;NEPRAVDA;BLOCK2
21;H700000101;32;32;01;01;PRAVDA;01150O0H0H0H0H0H0I0H0I;01150O0H0H0H0H0H0I0H0I;PRAVDA;;10241N1G1H1G1H1G1H1G1H;10241N1G1G1G1G1G1H1G1H;NEPRAVDA;P16;NEPRAVDA;BLOCK2
22;IKJKJ00101;32;32;01;01;PRAVDA;0116181718170H0H0I0H0I;0116181718170H0H0I0H0I;PRAVDA;;1025272627261G1H1I1G1H;1025272627261G1G1H1G1H;NEPRAVDA;P19;NEPRAVDA;BLOCK2
23;N100000101;32;32;01;01;PRAVDA;011B0I0H0H0H0H0H0I0H0I;011B0I0H0H0H0H0H0I0H0I;PRAVDA;;102A1H1G1H1G1H1G1H1G1H;102A1H1G1G1G1G1G1H1G1H;NEPRAVDA;P16;NEPRAVDA;BLOCK2
24;U5KTJ00101;32;32;01;01;PRAVDA;011I0M181H170H0H0I0H0I;011I0M181H170H0H0I0H0I;PRAVDA;;102H1L272G261G1H1I1G1H;102H1L272G261G1G1H1G1H;NEPRAVDA;P19;NEPRAVDA;BLOCK2
25;YO0QJ00101;32;32;01;01;PRAVDA;011M1C0H1E170H0H0I0H0I;011M1C0H1E170H0H0I0H0I;PRAVDA;;102L2B1G2D261G1H1I1G1H;102L2B1G2D261G1G1H1G1H;NEPRAVDA;P19;NEPRAVDA;BLOCK2
26;1G80000101;33;33;02;02;PRAVDA;020I140P0H0H0H0H0I0H0I;020I140P0H0H0H0H0I0H0I;PRAVDA;;121I241P1H1I1H1I1J1H1I;121I241P1H1H1H1H1I1H1I;NEPRAVDA;P17;NEPRAVDA;BLOCK2
27;1H70000101;33;33;02;02;PRAVDA;020I150O0H0H0H0H0I0H0I;020I150O0H0H0H0H0I0H0I;PRAVDA;;121I251O1H1I1H1I1J1H1I;121I251O1H1H1H1H1I1H1I;NEPRAVDA;P17;NEPRAVDA;BLOCK2
28;1L30000101;33;33;02;02;PRAVDA;020I190K0H0H0H0H0I0H0I;020I190K0H0H0H0H0I0H0I;PRAVDA;;121I291K1H1I1H1I1J1H1I;121I291K1H1H1H1H1I1H1I;NEPRAVDA;P17;NEPRAVDA;BLOCK2
29;2M10000101;33;33;02;02;PRAVDA;020J1A0I0H0H0H0H0I0H0I;020J1A0I0H0H0H0H0I0H0I;PRAVDA;;121J2A1I1H1I1H1I1J1H1I;121J2A1I1H1H1H1H1I1H1I;NEPRAVDA;P17;NEPRAVDA;BLOCK2
30;I700000101;33;33;02;02;PRAVDA;02160O0H0H0H0H0H0I0H0I;02160O0H0H0H0H0H0I0H0I;PRAVDA;;12261O1H1I1H1I1H1I1H1I;12261O1H1H1H1H1H1I1H1I;NEPRAVDA;P16;NEPRAVDA;BLOCK2
31;KR9TJ00101;33;33;02;02;PRAVDA;02181F0Q1H170H0H0I0H0I;02181F0Q1H170H0H0I0H0I;PRAVDA;;12282F1Q2H271H1I1J1H1I;12282F1Q2H271H1H1I1H1I;NEPRAVDA;P19;NEPRAVDA;BLOCK2
32;M300000101;33;33;02;02;PRAVDA;021A0K0H0H0H0H0H0I0H0I;021A0K0H0H0H0H0H0I0H0I;PRAVDA;;122A1K1H1I1H1I1H1I1H1I;122A1K1H1H1H1H1H1I1H1I;NEPRAVDA;P16;NEPRAVDA;BLOCK2
33;N200000101;33;33;02;02;PRAVDA;021B0J0H0H0H0H0H0I0H0I;021B0J0H0H0H0H0H0I0H0I;PRAVDA;;122B1J1H1I1H1I1H1I1H1I;122B1J1H1H1H1H1H1I1H1I;NEPRAVDA;P16;NEPRAVDA;BLOCK2
34;1G90000101;34;34;03;03;PRAVDA;030I140Q0H0H0H0H0I0H0I;030I140Q0H0H0H0H0I0H0I;PRAVDA;;141J251R1I1J1I1J1K1I1J;141J251R1I1I1I1I1J1I1J;NEPRAVDA;P17;NEPRAVDA;BLOCK2
35;1I70000101;34;34;03;03;PRAVDA;030I160O0H0H0H0H0I0H0I;030I160O0H0H0H0H0I0H0I;PRAVDA;;141J271P1I1J1I1J1K1I1J;141J271P1I1I1I1I1J1I1J;NEPRAVDA;P17;NEPRAVDA;BLOCK2
36;2L30000101;34;34;03;03;PRAVDA;030J190K0H0H0H0H0I0H0I;030J190K0H0H0H0H0I0H0I;PRAVDA;;141K2A1L1I1J1I1J1K1I1J;141K2A1L1I1I1I1I1J1I1J;NEPRAVDA;P17;NEPRAVDA;BLOCK2
37;CHSMJ00101;34;34;03;03;PRAVDA;0310151G1A170H0H0I0H0I;0310151G1A170H0H0I0H0I;PRAVDA;;1421262H2B281I1J1K1I1J;1421262H2B281I1I1J1I1J;NEPRAVDA;P19;NEPRAVDA;BLOCK2
38;J700000101;34;34;03;03;PRAVDA;03170O0H0H0H0H0H0I0H0I;03170O0H0H0H0H0H0I0H0I;PRAVDA;;14281P1I1J1I1J1I1J1I1J;14281P1I1I1I1I1I1J1I1J;NEPRAVDA;P16;NEPRAVDA;BLOCK2
