SourceRow;WorkerID;Prefix_ASC;ActualBlock2;CalcBlock2;Block2_OK;P12_Actual;P12_Calc;P12_Delta;P13_Actual;P13_Calc;P13_Delta;P14_Actual;P14_Calc;P14_Delta;P15_Actual;P15_Calc;P15_Delta;P16_Actual;P16_Calc;P16_Delta;P17_Actual;P17_Calc;P17_Delta;P18_Actual;P18_Calc;P18_Delta;P19_Actual;P19_Calc;P19_Delta;P20_Actual;P20_Calc;P20_Delta;P21_Actual;P21_Calc;P21_Delta;P22_Actual;P22_Calc;P22_Delta;;SOUHRN;
2;19D0000101;31;0Y1G1O1Z1F1G1F1G1H1F1G;0Y1G1O1Z1F1G1F1G1H1F1G;PRAVDA;34;34;0;52;52;0;60;60;0;71;71;0;51;51;0;52;52;0;51;51;0;52;52;0;53;53;0;51;51;0;52;52;0;;WorkerID;575
3;1D90000101;31;0Y1G1Z1O1F1G1F1G1H1F1G;0Y1G1Z1O1F1G1F1G1H1F1G;PRAVDA;34;34;0;52;52;0;71;71;0;60;60;0;51;51;0;52;52;0;51;51;0;52;52;0;53;53;0;51;51;0;52;52;0;;Block2 OK;563
4;1F70000101;31;0Y1G211M1F1G1F1G1H1F1G;0Y1G211M1F1G1F1G1H1F1G;PRAVDA;34;34;0;52;52;0;73;73;0;58;58;0;51;51;0;52;52;0;51;51;0;52;52;0;53;53;0;51;51;0;52;52;0;;Block2 FAIL;12
5;1G60000101;31;0Y1G221L1F1G1F1G1H1F1G;0Y1G221L1F1G1F1G1H1F1G;PRAVDA;34;34;0;52;52;0;74;74;0;57;57;0;51;51;0;52;52;0;51;51;0;52;52;0;53;53;0;51;51;0;52;52;0;;Pairs OK;6313
6;2F60000101;31;0Y1H211L1F1G1F1G1H1F1G;0Y1H211L1F1G1F1G1H1F1G;PRAVDA;34;34;0;53;53;0;73;73;0;57;57;0;51;51;0;52;52;0;51;51;0;52;52;0;53;53;0;51;51;0;52;52;0;;Pairs total;6325
7;3J10000101;31;0Y1I251G1F1G1F1G1H1F1G;0Y1I251G1F1G1F1G1H1F1G;PRAVDA;34;34;0;54;54;0;77;77;0;52;52;0;51;51;0;52;52;0;51;51;0;52;52;0;53;53;0;51;51;0;52;52;0;;Block2 success %;97,91%
8;4D60000101;31;0Y1J1Z1L1F1G1F1G1H1F1G;0Y1J1Z1L1F1G1F1G1H1F1G;PRAVDA;34;34;0;55;55;0;71;71;0;57;57;0;51;51;0;52;52;0;51;51;0;52;52;0;53;53;0;51;51;0;52;52;0;;Pair success %;99,81%
9;5RROJ00101;31;0Y1K2D2E2A251F1G1H1F1G;0Y1K2D2E2A251F1G1H1F1G;PRAVDA;34;34;0;56;56;0;85;85;0;86;86;0;82;82;0;77;77;0;51;51;0;52;52;0;53;53;0;51;51;0;52;52;0;;;
10;F800000101;31;0Y211N1F1G1F1G1F1G1F1G;0Y211N1F1G1F1G1F1G1F1G;PRAVDA;34;34;0;73;73;0;59;59;0;51;51;0;52;52;0;51;51;0;52;52;0;51;51;0;52;52;0;51;51;0;52;52;0;;;
11;G700000101;31;0Y221M1F1G1F1G1F1G1F1G;0Y221M1F1G1F1G1F1G1F1G;PRAVDA;34;34;0;74;74;0;58;58;0;51;51;0;52;52;0;51;51;0;52;52;0;51;51;0;52;52;0;51;51;0;52;52;0;;;
