SourceRow;WorkerID;RawPrefix;PrefixASCII;TailN;OriginalFilename;CalculatedFilename;Result;OriginalLen;CalculatedLen;FirstDiffPos;OriginalAtDiff;CalculatedAtDiff;Block1;Block2;Tail
2;19D0000101;31;31;3;000I0Q110H0H0H0H0I0H0I0Y1G1O1Z1F1G1F1G1H1F1G0--0I0Q111Y0I0H0I6522;000I0Q110H0H0H0H0I0H0I0Y1G1O1Z1F1G1F1G1H1F1G0--0I0Q111Y0I0H0I6522;OK;65;65;;;;000I0Q110H0H0H0H0I0H0I;0Y1G1O1Z1F1G1F1G1H1F1G;0I0Q111Y0I0H0I6522
3;1D90000101;31;31;3;000I110Q0H0H0H0H0I0H0I0Y1G1Z1O1F1G1F1G1H1F1G0--0I110Q1Y0I0H0I6522;000I110Q0H0H0H0H0I0H0I0Y1G1Z1O1F1G1F1G1H1F1G0--0I110Q1Y0I0H0I6522;OK;65;65;;;;000I110Q0H0H0H0H0I0H0I;0Y1G1Z1O1F1G1F1G1H1F1G;0I110Q1Y0I0H0I6522
4;1F70000101;31;31;3;000I130O0H0H0H0H0I0H0I0Y1G211M1F1G1F1G1H1F1G0--0I130O1Y0I0H0I6522;000I130O0H0H0H0H0I0H0I0Y1G211M1F1G1F1G1H1F1G0--0I130O1Y0I0H0I6522;OK;65;65;;;;000I130O0H0H0H0H0I0H0I;0Y1G211M1F1G1F1G1H1F1G;0I130O1Y0I0H0I6522
5;1G60000101;31;31;3;000I140N0H0H0H0H0I0H0I0Y1G221L1F1G1F1G1H1F1G0--0I140N1Y0I0H0I6522;000I140N0H0H0H0H0I0H0I0Y1G221L1F1G1F1G1H1F1G0--0I140N1Y0I0H0I6522;OK;65;65;;;;000I140N0H0H0H0H0I0H0I;0Y1G221L1F1G1F1G1H1F1G;0I140N1Y0I0H0I6522
6;2F60000101;31;31;3;000J130N0H0H0H0H0I0H0I0Y1H211L1F1G1F1G1H1F1G0--0J130N1Y0I0H0I6522;000J130N0H0H0H0H0I0H0I0Y1H211L1F1G1F1G1H1F1G0--0J130N1Y0I0H0I6522;OK;65;65;;;;000J130N0H0H0H0H0I0H0I;0Y1H211L1F1G1F1G1H1F1G;0J130N1Y0I0H0I6522
7;3J10000101;31;31;3;000K170I0H0H0H0H0I0H0I0Y1I251G1F1G1F1G1H1F1G0--0K170I1Y0I0H0I6522;000K170I0H0H0H0H0I0H0I0Y1I251G1F1G1F1G1H1F1G0--0K170I1Y0I0H0I6522;OK;65;65;;;;000K170I0H0H0H0H0I0H0I;0Y1I251G1F1G1F1G1H1F1G;0K170I1Y0I0H0I6522
8;4D60000101;31;31;3;000L110N0H0H0H0H0I0H0I0Y1J1Z1L1F1G1F1G1H1F1G0--0L110N1Y0I0H0I6522;000L110N0H0H0H0H0I0H0I0Y1J1Z1L1F1G1F1G1H1F1G0--0L110N1Y0I0H0I6522;OK;65;65;;;;000L110N0H0H0H0H0I0H0I;0Y1J1Z1L1F1G1F1G1H1F1G;0L110N1Y0I0H0I6522
9;5RROJ00101;131;31;5;000M1F1F1C170H0H0I0H0I0Y1K2D2E2A251F1G1H1F1G0--0M1F1F1C170C0I0H0I630E0;000M1F1F1C170H0H0I0H0I0Y1K2D2E2A251F1G1H1F1G0--0M1F1F1C170C0I0H0I630E0;OK;70;70;;;;000M1F1F1C170H0H0I0H0I;0Y1K2D2E2A251F1G1H1F1G;0M1F1F1C170C0I0H0I630E0
10;F800000101;31;31;2;00130P0H0H0H0H0H0I0H0I0Y211N1F1G1F1G1F1G1F1G0--130P0L0I0H0I660Q0;00130P0H0H0H0H0H0I0H0I0Y211N1F1G1F1G1F1G1F1G0--130P0L0I0H0I660Q0;OK;64;64;;;;00130P0H0H0H0H0H0I0H0I;0Y211N1F1G1F1G1F1G1F1G;130P0L0I0H0I660Q0
11;G700000101;31;31;2;00140O0H0H0H0H0H0I0H0I0Y221M1F1G1F1G1F1G1F1G0--140O0L0I0H0I660Q0;00140O0H0H0H0H0H0I0H0I0Y221M1F1G1F1G1F1G1F1G0--140O0L0I0H0I660Q0;OK;64;64;;;;00140O0H0H0H0H0H0I0H0I;0Y221M1F1G1F1G1F1G1F1G;140O0L0I0H0I660Q0
