SourceRow;WorkerID;RawPrefix;PrefixASCII;n;X;Parity;Const;Y;Trailing;Mode;ActualTail;CalcTail;Result;FirstDiffPos;ActualAtDiff;CalcAtDiff;ActualLen;CalcLen;;SOUHRN V2;;;
2;19D0000101;31;31;3;70;0I0H0I;221;74;;NORMAL;0I0Q111Y0I0H0I6522;0I0Q111Y0I0H0I6522;OK;;;;18;18;;;;;
3;1D90000101;31;31;3;70;0I0H0I;221;74;;NORMAL;0I110Q1Y0I0H0I6522;0I110Q1Y0I0H0I6522;OK;;;;18;18;;TOTAL;575;;
4;1F70000101;31;31;3;70;0I0H0I;221;74;;NORMAL;0I130O1Y0I0H0I6522;0I130O1Y0I0H0I6522;OK;;;;18;18;;OK;575;;
5;1G60000101;31;31;3;70;0I0H0I;221;74;;NORMAL;0I140N1Y0I0H0I6522;0I140N1Y0I0H0I6522;OK;;;;18;18;;FAIL;0;;
6;2F60000101;31;31;3;70;0I0H0I;221;74;;NORMAL;0J130N1Y0I0H0I6522;0J130N1Y0I0H0I6522;OK;;;;18;18;;;;;
7;3J10000101;31;31;3;70;0I0H0I;221;74;;NORMAL;0K170I1Y0I0H0I6522;0K170I1Y0I0H0I6522;OK;;;;18;18;;n;TOTAL;OK;FAIL
8;4D60000101;31;31;3;70;0I0H0I;221;74;;NORMAL;0L110N1Y0I0H0I6522;0L110N1Y0I0H0I6522;OK;;;;18;18;;1;1;1;0
9;5RROJ00101;131;31;5;12;0I0H0I;219;14;0;NORMAL;0M1F1F1C170C0I0H0I630E0;0M1F1F1C170C0I0H0I630E0;OK;;;;23;23;;2;80;80;0
10;F800000101;31;31;2;21;0I0H0I;222;26;0;NORMAL;130P0L0I0H0I660Q0;130P0L0I0H0I660Q0;OK;;;;17;17;;3;260;260;0
11;G700000101;31;31;2;21;0I0H0I;222;26;0;NORMAL;140O0L0I0H0I660Q0;140O0L0I0H0I660Q0;OK;;;;17;17;;5;234;234;0
12;M100000101;31;31;2;21;0I0H0I;222;26;0;NORMAL;1A0I0L0I0H0I660Q0;1A0I0L0I0H0I660Q0;OK;;;;17;17;;;;;
13;VJ5SJ00101;131;31;5;12;0I0H0I;219;14;0;NORMAL;1J170M1G170C0I0H0I630E0;1J170M1G170C0I0H0I630E0;OK;;;;23;23;;;;;
14;1E90000101;32;32;3;71;0I0I0H;221;75;;NORMAL;0I120Q1Z0I0I0H6523;0I120Q1Z0I0I0H6523;OK;;;;18;18;;;;;
15;1L20000101;32;32;3;71;0I0I0H;221;75;;NORMAL;0I190J1Z0I0I0H6523;0I190J1Z0I0I0H6523;OK;;;;18;18;;;;;
16;2H50000101;32;32;3;71;0I0I0H;221;75;;NORMAL;0J150M1Z0I0I0H6523;0J150M1Z0I0I0H6523;OK;;;;18;18;;;;;
17;38D0000101;32;32;3;71;0I0I0H;221;75;;NORMAL;0K0P111Z0I0I0H6523;0K0P111Z0I0I0H6523;OK;;;;18;18;;;;;
18;3F60000101;32;32;3;71;0I0I0H;221;75;;NORMAL;0K130N1Z0I0I0H6523;0K130N1Z0I0I0H6523;OK;;;;18;18;;;;;
19;4J10000101;32;32;3;71;0I0I0H;221;75;;NORMAL;0L170I1Z0I0I0H6523;0L170I1Z0I0I0H6523;OK;;;;18;18;;;;;
20;FBPQJ00101;132;32;5;13;0I0I0H;219;15;0;NORMAL;130Z1D1E170D0I0I0H630F0;130Z1D1E170D0I0I0H630F0;OK;;;;23;23;;;;;
21;H700000101;32;32;2;22;0I0I0H;222;27;0;NORMAL;150O0M0I0I0H660R0;150O0M0I0I0H660R0;OK;;;;17;17;;;;;
22;IKJKJ00101;132;32;5;13;0I0I0H;219;15;0;NORMAL;16181718170D0I0I0H630F0;16181718170D0I0I0H630F0;OK;;;;23;23;;;;;
23;N100000101;32;32;2;22;0I0I0H;222;27;0;NORMAL;1B0I0M0I0I0H660R0;1B0I0M0I0I0H660R0;OK;;;;17;17;;;;;
24;U5KTJ00101;132;32;5;13;0I0I0H;219;15;0;NORMAL;1I0M181H170D0I0I0H630F0;1I0M181H170D0I0I0H630F0;OK;;;;23;23;;;;;
25;YO0QJ00101;132;32;5;13;0I0I0H;219;15;0;NORMAL;1M1C0H1E170D0I0I0H630F0;1M1C0H1E170D0I0I0H630F0;OK;;;;23;23;;;;;
26;1G80000101;33;33;3;72;0I0H0I;221;76;;NORMAL;0I140P200I0H0I6524;0I140P200I0H0I6524;OK;;;;18;18;;;;;
27;1H70000101;33;33;3;72;0I0H0I;221;76;;NORMAL;0I150O200I0H0I6524;0I150O200I0H0I6524;OK;;;;18;18;;;;;
28;1L30000101;33;33;3;72;0I0H0I;221;76;;NORMAL;0I190K200I0H0I6524;0I190K200I0H0I6524;OK;;;;18;18;;;;;
29;2M10000101;33;33;3;72;0I0H0I;221;76;;NORMAL;0J1A0I200I0H0I6524;0J1A0I200I0H0I6524;OK;;;;18;18;;;;;
30;I700000101;33;33;2;23;0I0H0I;222;28;0;NORMAL;160O0N0I0H0I660S0;160O0N0I0H0I660S0;OK;;;;17;17;;;;;
31;KR9TJ00101;133;33;5;14;0I0H0I;219;16;0;NORMAL;181F0Q1H170E0I0H0I630G0;181F0Q1H170E0I0H0I630G0;OK;;;;23;23;;;;;
32;M300000101;33;33;2;23;0I0H0I;222;28;0;NORMAL;1A0K0N0I0H0I660S0;1A0K0N0I0H0I660S0;OK;;;;17;17;;;;;
33;N200000101;33;33;2;23;0I0H0I;222;28;0;NORMAL;1B0J0N0I0H0I660S0;1B0J0N0I0H0I660S0;OK;;;;17;17;;;;;
34;1G90000101;34;34;3;73;0I0I0H;221;77;;NORMAL;0I140Q210I0I0H6525;0I140Q210I0I0H6525;OK;;;;18;18;;;;;
35;1I70000101;34;34;3;73;0I0I0H;221;77;;NORMAL;0I160O210I0I0H6525;0I160O210I0I0H6525;OK;;;;18;18;;;;;
36;2L30000101;34;34;3;73;0I0I0H;221;77;;NORMAL;0J190K210I0I0H6525;0J190K210I0I0H6525;OK;;;;18;18;;;;;
37;CHSMJ00101;134;34;5;15;0I0I0H;219;17;0;NORMAL;10151G1A170F0I0I0H630H0;10151G1A170F0I0I0H630H0;OK;;;;23;23;;;;;
38;J700000101;34;34;2;24;0I0I0H;222;29;0;NORMAL;170O0O0I0I0H660T0;170O0O0I0I0H660T0;OK;;;;17;17;;;;;
39;O5QVJ00101;134;34;5;15;0I0I0H;219;17;0;NORMAL;1C0M1E1J170F0I0I0H630H0;1C0M1E1J170F0I0I0H630H0;OK;;;;23;23;;;;;
40;1I80000101;35;35;3;74;0I0H0I;221;78;;NORMAL;0I160P220I0H0I6526;0I160P220I0H0I6526;OK;;;;18;18;;;;;
